a|يك(n;0.5)
casting|ريختن گري(n;0.75),پرتاب(n;0.5),چدن ريزي(n;0.25),سبك(n;0.25)
castle|قلعه(n;0.75),دژ(n;0.5),قصر(n;0.5),رخ(n;0.25)
cat|گربه(n;0.75),شلاق زدن(v;0.25),قي كردن(v;0.25),شلاق لنگر برداشتن(v;0.25)
catalogue|كاتالوگ(n;0.75),فهرست(n;0.75),كتاب فهرست(n;0.25),فهرست نامه(n;0.25),فهرست مدون(n;0.25),فهرست كردن(v;0.5),فهرست به فهرست بردن(v;0.25)
catalysis|تجزيه(n;0.75)
catastrophe|فاجعه(n;0.75),مصيبت(n;0.5),بلا ناگهاني(n;0.5),فلاكت(n;0.5)
catastrophic|فاجعه انگيز(j;0.5),مصيبت بار(j;0.5)
catch|گرفتن(v;0.75),قاپيدن(v;0.25),از هوا گرفتن(v;0.25),بدست اوردن(v;0.25),جلب كردن(v;0.25),درك كردن(v;0.25),فهميدن(v;0.25),دچار شدن به(v;0.25),چنگ زدن(v;0.25),دستگيره(n;0.5),اخذ(n;0.5),شكار(n;0.5),زبانه(n;0.25),عمل گرفتن(n;0.25),لغت چشمگير(n;0.25)
cater|تهيه كردن(v;0.75),اذوقه رساندن(v;0.5),خواربار رساندن(v;0.5)
cathedral|كليسا جامع(n;0.75)
catholic|كاتوليك(n;0.75),جامع(j;0.75),لندن نظر(j;0.5),ازادن(j;0.5)
catholicism|اصول مذهب كاتوليكي(n;0.75)
caucasus|قفقاز(n;0.75)
cause|علت(n;0.75),انگيزه(n;0.25),موجب(n;0.75),سبب(n;0.75),جنبش(n;0.5),هدف(n;0.5),جهت(n;0.25),باعي(n;0.25),مرافعه(n;0.25),موضوع منازع فيه(n;0.25),نهضت(n;0.25),موري(n;0.25)
cedefop|cedefop(n;0.75)
celebrate|جشن گرفتن(v;0.5),عيدگرفتن(v;0.25),ايين گاهداشتن(v;0.25),تقديس كردن(v;0.25),تجليل كردن(v;0.25),علم كردن(v;0.25)
celebrity|شهرت(n;0.5),شخص نامدار(n;0.25),ستاره يا شخصيت برجستن جماعت(n;0.25),عضو صنوف ممتازه اجتماع(n;0.25),سر لنديدن(n;0.25)
cell|سلول(n;0.75),خانه(n;0.5),پيل(n;0.5),حجره(n;0.25),ياختن(n;0.25),زندان تكي(n;0.25),سلول يكنفري(n;0.25),باطري(n;0.25),حفره(n;0.25)
censor|سانسورچي(n;0.75),مامور سانسور(n;0.5),بازرس مطبوعه و نمايش(n;0.5),سانسور كردن(v;0.5)
centimetre|سانتي م(n;0.75)
central|مركزي(j;0.75),مياني(j;0.75),بطرف وسط(j;0.25)
centre|مركز(n;0.75),مدار(n;0.25),ميانه(n;0.25),ميان(n;0.25),وسط و نقطه مركزي(n;0.25),در مركز قرار گرفتن(v;0.25),تمركز يافتن(v;0.25)
centrist|ميانه(n;0.75)
century|قرن(n;0.75),سده(n;0.5)
certain|عضدن(n;0.75),بعض(n;0.25),معين(j;0.5),قطعي(j;0.5),معلوم(j;0.25),مسلم(j;0.5),تاحدي(j;0.25),محقق(j;0.25),فلان(j;0.25),خاطر جمع(j;0.25),خاطرجمعي(n;0.25)
certainly|قطعا(d;0.75),مطمئنا(d;0.75),حتما(d;0.5),يقينا(d;0.5),همانا(d;0.5),محققا(d;0.5)
certificate|گواهي نامه(n;0.75),سند رسمي(n;0.25),شهادت نامه(n;0.25),گواهي صادر كردن(v;0.25)
cfln|cfln(n;0.75)
chain|زنجير(n;0.75),سلسله(n;0.5),رشته(n;0.5),كردن و زنجيز(n;0.25),حلقه(n;0.25),ريسه(n;0.25),زنجير كردن(v;0.25),زنجير كردن(v;0.25)
chair|صندلي(n;0.75),مقر(n;0.25),كرسي استادي در دانشگاه(n;0.25),بر كرسي يا صندلي شاندن(v;0.25)
challenge|چالش(n;0.75)
chamber|اتاق(n;0.75),تالار(n;0.5),حجره(n;0.5),اتاق خواب(n;0.25),خوابگاه(n;0.25),خان(n;0.25),فشنگ خورياخزانه(n;0.25),دفتركار(n;0.25),اپارتم(n;0.25),در اطاق قرار دادن(v;0.25),جا دادن(v;0.25)
chance|شانس(n;0.75),فرصت(n;0.75),بخت(n;0.5),مجال(n;0.5),تصادف(n;0.25),پا(n;0.25),اتفاقي(j;0.5),تصادفي(j;0.5),اتفاق افتادن(v;0.25)
chancellor|صدر اعظم(n;0.75),رئيس دانشگاه(n;0.25)
change|تغيير(n;0.75),دگرگوني(n;0.5),عوض(n;0.5),تحول(n;0.5),پول خرد(n;0.25),مبادله(n;0.25),بدل(n;0.25),تصرف(n;0.25),دگرگون كردن يا شدن(v;0.25),عوض كردن(v;0.25),عوض شدن(v;0.25),تغيير دادن(v;0.25)
changing|متغير(j;0.5)
channel|كانال(n;0.75),مجرا فاضل اب(n;0.25),مجرا(n;0.25),دريا(n;0.25),ترعه(n;0.25),ورودي و خروجي مجرا(n;0.25),كندن(v;0.25),شيار دار كردن(v;0.25)
chant|مناجه(n;0.75),سرود(n;0.75),اهنگ ساده و كشيدن(n;0.5),سرا(n;0.5),سرود يا اهنگ خواندن(v;0.5)
chap|مرد(n;0.5),شكاف(n;0.5),ترك(n;0.5),جوانك(n;0.5),فك(n;0.5),چانه(n;0.5),خراش(n;0.5),مشتري(n;0.25),انتخاب كردن(v;0.5),شكاف دادن(v;0.5),تركاندن(v;0.5),زدن(v;0.5),خشكي زدن(v;0.5)
chapel|كليسا كوچك(n;0.75),نماز خانه كوچك نزديك كليسا(n;0.5)
chapman|تاجر(n;0.75),دلال(n;0.75),واسطه سيار(n;0.75)
chapter|فصل(n;0.75),باب(n;0.5),قسمت(n;0.5),شعبه(n;0.5),مقاله(n;0.5),فصل ياقسمتي از كتاب(n;0.25),فصل يا قسمت مختصري(n;0.25)
char|زغال(n;0.5),جسم زغال(n;0.5),كار روز مزد و اتفاقي(n;0.25),تبديل به زغال كردن(v;0.5),انجام دادن(v;0.5),كردن(v;0.25),نيمسوز شدن(v;0.5),نيم سوز كردن(v;0.5)
character|شخصيت(n;0.75),خط(n;0.5),دخشه(n;0.5),مونه(n;0.25),خيم(n;0.25),نهاد(n;0.25),سيرت(n;0.25),صفه ممتازه(n;0.25),هر نوع حروف نوشتني و چاپي(n;0.25),رقم(n;0.25),طبيعت(n;0.25),سرشت(n;0.25)
characterise|مشخص كردن(v;0.5),توصيف كردن(v;0.25),منش مادن كردن(v;0.25),متصف كردن(v;0.25)
characteristic|مشخصه(j;0.75),خاص(j;0.5),هاديدن(j;0.25),نهادين(j;0.25),خيمي(j;0.25),مشخصه(n;0.75),منش نما(n;0.25),نشان ويژه(n;0.25),صفت مميزه(n;0.25),جنبه(n;0.25)
charcoal|زغال(n;0.75),زغال چوب(n;0.75),فحم(n;0.25)
charge|اتهام(n;0.75),بار(n;0.75),هزينه(n;0.75),خرج(n;0.5),مطالبه(n;0.5),عهده(n;0.5),تصدي(n;0.25),حمله(n;0.25),مطالبه هزينه(n;0.25),وزن(n;0.25),مسئوليت(n;0.25),عهده داشتن(n;0.25),گماشتن(v;0.25),زيربار كشيدن(v;0.25),متهم ساختن(v;0.25),پركردن(v;0.25)
charity|صدقه(n;0.5),خيرات(n;0.5),نيكوكاري(n;0.5),دستگيري(n;0.25),خوش قلبي(n;0.25)
charles|چارلز(n;0.75)
chat|گپ(n;0.75),سخن دوستانه(n;0.25),درد دل(n;0.25),گپ زدن(v;0.5),دوستانه حرف زدن(v;0.25),پر حرفي كردن(v;0.25)
cheaply|ارز(n;0.75)
check|بررسي(n;0.75),چك(n;0.75),حواله(n;0.25),برات(n;0.25),چك بانك(n;0.25),بوته(n;0.25),مكي(n;0.25),جلوگيري كردن از(v;0.25),مقابله كردن(v;0.25),ممانعت كردن(v;0.25),بررسي كردن(v;0.25),رسيده كردن(v;0.25),تطبيق كردن(v;0.25),نشان گذاشتن(v;0.25),منع كردن(v;0.25)
checking|بررسي(n;0.75),مقابله(n;0.5),منع(n;0.25)
checkout|وارسي(n;0.75)
cheek|گونه(n;0.75),لب(n;0.5),لغاز(n;0.25)
cheltenham|چلتنهام(n;0.75)
chemical|شيميا(j;0.75),كيميا(j;0.25)
chemistry|علم شيمي(n;0.5)
cheque|بررسي(n;0.75),چك(n;0.75),حواله(n;0.25),برات(n;0.25),چك بانك(n;0.25),بوته(n;0.25),مكي(n;0.25),جلوگيري كردن از(v;0.25),مقابله كردن(v;0.25),ممانعت كردن(v;0.25),بررسي كردن(v;0.25),رسيده كردن(v;0.25),تطبيق كردن(v;0.25),نشان گذاشتن(v;0.25),منع كردن(v;0.25)
chest|قفسه سينه(n;0.75),سينه(n;0.75),جعبه(n;0.5),صندوق(n;0.5),محفظه(n;0.25),سينه انسان(n;0.25),يخدان(n;0.25),تابوت(n;0.25),خزانه داشتن(n;0.25),خزانه(n;0.25)
chesterfield|chesterfield(n;0.75)
chicken|جوجه(n;0.75),بچه(n;0.25),جوجه مرغ(n;0.5),مرد جوان(n;0.25),ترسو(n;0.25),كمرو(n;0.25),مرغك(n;0.25)
chief|رئيس(n;0.75),سالار(n;0.25),فرمانده(n;0.5),قائد(n;0.25),سر(n;0.5),پيشرو(n;0.25),متصدي(n;0.25),سرور(n;0.25),سيد(n;0.25),سر دسته(n;0.25),عمده(j;0.5)
child|كودك(n;0.75),بچه(n;0.5),طفل(n;0.5),فرزند(n;0.75),خردسال(n;0.5),زاد(n;0.25),زاده(n;0.25)
chime|صدا سنج ايجاد كردن(v;0.75),سنج(n;0.75),ترتيب زنگ موسيقي(n;0.5),ناقوس رابصدا دراوردن(n;0.5)
chimp|شمپانزه(n;0.75),ميمون ادم وار(n;0.5)
chinese|چيني(n;0.75)
chip|تراشه(n;0.75),ژتن(n;0.25),ريزه(n;0.25),ژتون(n;0.25),سيب زميني سرخ كردن(n;0.25),ورقه شدن(v;0.25),رنده كردن(v;0.25)
chloride|كلريد(n;0.75)
choice|انتخاب(n;0.75),پسند(n;0.25),چيز نخبه(n;0.25),برگزيدن(j;0.25)
choir|هم سراي(n;0.5),بصورت دسته جمعي سرود خواندن(v;0.25)
cholesterol|كلسترول(n;0.75)
choose|را انتخاب كردن(n;0.75),انتخاب كردن(v;0.5),برگزيدن(v;0.25),گزيدن(v;0.25),خواستن(v;0.25),پسنديدن(v;0.25),جدا كردن(v;0.25)
choosing|انتخاب(n;0.75)
chop|ريز ريز كردن(v;0.75),بريدن(v;0.5),جدا كردن(v;0.5),غذا خوردن(v;0.5),شكستن(v;0.5),خرد كردن(v;0.5),گوشت با استخو(n;0.5),ضربت(n;0.5),دهان(n;0.5),ضرب(n;0.5),غذا(n;0.5)
choreographer|طراح رقص(n;0.75)
chorus|هم سراي(n;0.5),برگرد(n;0.5),دسته خواننده(n;0.5),نغمه سراي هم اهنگ(n;0.5),هم سرا كردن(v;0.5)
chris|كريس(n;0.75)
christian|مسيحي(n;0.75)
christmas|كريسمس(n;0.75)
chronic|مزمن(j;0.75),ديرينه(j;0.25),سخت(j;0.25),شدن(j;0.25),گرانرو(j;0.25)
chronology|علم ترتيب تاريخ(n;0.5),شرح وقايع بترتيب زماني(n;0.5),گاه شناسي(n;0.5),تاريخ شماري(n;0.5)
chrysanthemum|گل داودي(n;0.75),مينا طلا(n;0.5)
chrysanths|گل داودي(n;0.75)
church|كليسا(n;0.75),كليسا(j;0.5),روحاني(j;0.25),در كليسا رسم مذهبي بجا اوردن(v;0.25)
churchill|چرچيل(n;0.75)
churn|دائما و شديدا چيزي را تكان دادن و بم زدن(n;0.75),كره سازي(n;0.75),بوسيله اسباب گردندن جلو رفتن(v;0.5)
cigar|سيگار(n;0.75),سيگار برگ(n;0.75)
cigarette|سيگار(n;0.75),سيگارت(n;0.5)
circle|دايره(n;0.75),حوزه(n;0.25),دور(n;0.75),محفل(n;0.5),محيط دايره(n;0.25),قلمرو(n;0.25),چنبر(n;0.25),مدار(n;0.25),چنبره(n;0.25),طوق(n;0.25),دور زدن(v;0.25),مدور ساختن(v;0.25),دور گرفتن(v;0.25),احاطه كردن(v;0.25)
circuit|جري(n;0.5),حوزه قضا يك قاضي(n;0.25),دور(n;0.25),دوره(n;0.25),گردش(n;0.25),اتحاديه(n;0.25),كنفرانس(n;0.25),محيط(n;0.25),دور چيزي گشتن(v;0.25),در مداري سفر كردن(v;0.25),احاطه كردن(v;0.25)
circular|مدور(j;0.75),دايره وار(j;0.5),داير(j;0.5),غير مستقيم(j;0.25),مستدير(j;0.25),چنبري(j;0.25),چرخي(j;0.25),بخشنامه(n;0.75)
circulation|گردش(n;0.75),تيراژ(n;0.75),جريان(n;0.5),انتشار(n;0.5),رواج(n;0.5),دوران(n;0.5),دوران خون(n;0.25)
circumstance|چگونه(n;0.5),امر(n;0.5),تفصيل(n;0.5),شرط محيط(n;0.5),پيش امد(n;0.5),شرح(n;0.25),اهميت(n;0.25),حال(n;0.25),رو دادن(n;0.25)
citizen|شهروند(n;0.75),تابع(n;0.5),رعيت(n;0.25),تبعه يك كشور(n;0.25)
city|شهرستان(n;0.75),شهر(n;0.75)
civic|مدني(j;0.75),شهري(j;0.5),اجتماعي(j;0.5)
civil|مدني(j;0.75),كشوري(j;0.5),غير ظام(دن j;0.5),حقوقي(j;0.5),عرفي(j;0.25),با ادب(j;0.25),متمدن(j;0.25),مودب(j;0.25)
civilian|غير ظام(دن j;0.75),شخص غير ظام(دن n;0.25)
civility|نزاكت(n;0.5),تربيت(n;0.5),نجابت و رفتار خوب(n;0.5),مردمي(n;0.5),مدارا(n;0.5)
claim|ادعا(n;0.75),دعو(n;0.75),مدعي(n;0.75),مطالبه(n;0.5),ادعا كردن(v;0.25)
clap|كف زدن(v;0.75),صدا دست زدن(v;0.75),صدا ناگهاني(n;0.75),ترق تراق(n;0.5)
clarification|وضوح(n;0.5),روشني(n;0.5),تصريح(n;0.25)
clarity|وضوح(n;0.75),روشني(n;0.5),نظم و ترتيب(n;0.5),تميزي(n;0.25)
class|كلاس(n;0.75),طبقه(n;0.75),نوع(n;0.25),رده(n;0.5),دسته(n;0.5),گروه(n;0.5),زمره(n;0.25),جور(n;0.25),هماموزه(n;0.25),رسته(n;0.25),سنخ(n;0.25),طبقه نديدن كردن(v;0.25)
classic|كلاسيك(j;0.75),مطابق به نمونه(j;0.25),باستاني(j;0.25),پيرو سبك باستاني(j;0.25),رد(j;0.25),وابستن به ادبيه باستاني(j;0.25)
classical|كلاسيك(j;0.75),رد(j;0.25),وابستن به ادبيه باستاني(j;0.25),پيرو سبك باستاني(j;0.25),باستاني(j;0.25),مطابق به نمونه(j;0.25)
clay|رس(n;0.75),خاك رس(n;0.75),گل(n;0.5),سفال(n;0.5),خاك كوزه گري(n;0.25)
clean|تميز(j;0.75),پاك(j;0.75),پاكيزه(j;0.5),روشن(j;0.25),نظيف(j;0.25),طاهر(j;0.25),عفيف(j;0.25),زلال(j;0.25),صاف(j;0.25),باطراوت(j;0.25),تميز كردن(v;0.75),پاك كردن(v;0.5)
cleaner|پاك كردن(n;0.75)
clear|واضح(j;0.75),شفاف(j;0.5),صاف(j;0.75),معلوم(j;0.5),زلال(j;0.5),صريح(j;0.5),اشكار(j;0.25),باصفا(j;0.25),روان(j;0.25),سليس(j;0.25),ظاهر(j;0.25),جلي(j;0.25)
clearance|ترخيص(n;0.75),ترخيص كالا از گمرك(n;0.75),اجازه(n;0.5),اختيار(n;0.25),برداشتن مانع(n;0.25),زدوده(n;0.25),روزنه(n;0.25),رخصت(n;0.25),صافي(n;0.25)
clearly|به وضوح(n;0.75)
clergyman|روحاني(n;0.75),كشيش(n;0.75),ملا(n;0.5)
clever|زرنگ(j;0.5),زيرك(j;0.5),چابك(j;0.25),ناقلا(j;0.25),با استعداد(j;0.25),معقول(j;0.25),با خرد(j;0.25),با هوش(j;0.25)
client|مشتري(n;0.75),موكل(n;0.5),ارباب رجوع(n;0.5)
cliff|صخره(n;0.75),تخته سنگ(n;0.5)
climate|اقليم(n;0.5),اب و هوا(n;0.25)
climatic|اب و هوا(n;0.75)
climax|اوج(n;0.75),راس(n;0.5),قله(n;0.5),منت درجه(n;0.5),باوج رسيدن(v;0.5)
climb|بالا رفتن(v;0.75),صعود كردن(v;0.5),ترقي كردن(v;0.5)
clinic|درمانگاه(n;0.75),مطب(n;0.5),بيمارستان(n;0.5)
clink|جلنگ جلنگ صدا كردن(v;0.75),بصدا دراوردن(v;0.75),سلول زندان(n;0.75)
clive|كلايو(n;0.75)
cloak|عبا(n;0.75),خرقه(n;0.5),جبه(n;0.5),ردا(n;0.5),پنهان كردن(v;0.5),در لفافه پيچيدن(v;0.5)
clock|ساعت(n;0.75),تپش زمان سنجي(n;0.25),زمان سنج(n;0.25),سنجيدن باساعت(v;0.25)
close|تنگ(j;0.25),خودماني(j;0.25),نزديك(d;0.75),بستن(v;0.75),مسدود كردن(v;0.25),محصور كردن(v;0.25),خاتمه دادن(v;0.25),پايان(n;0.5),ايست(n;0.25),توقف(n;0.25),خاتمه(n;0.5),جا محصور(n;0.25),محوطه(n;0.25),انت(n;0.25),بن بست(n;0.25)
closely|نزديك(n;0.75)
closeness|زديكدن(n;0.75)
closer|نزديك(n;0.75)
closest|نزديك ترين(n;0.75)
closing|بستن شدن(n;0.75)
closure|بستن شدن(v;0.75),خاتمه(n;0.5),بستار(n;0.5),دريچه(n;0.5),را كفايت مذاكره(n;0.25),عمل محصور شدن(n;0.25),درب طردن و غيره(n;0.25),دربستن(n;0.25)
cloth|پارچه(n;0.75),قماش(n;0.75)
clothes|لباس(n;0.75),رخت(n;0.5),جامه لباس(n;0.25)
cloud|ابر(n;0.75),توده ابرومه(n;0.25),توده انبوه(n;0.25),سحاب(n;0.25),ابري شدن(v;0.25),سايه افكن شدن(v;0.25)
club|باشگاه(n;0.75),انجمن(n;0.5),كانون(n;0.5),باتون(n;0.25),چماق(n;0.25),گرز(n;0.25),خال گشنيز(n;0.25),مجمع(n;0.25),خاج(n;0.25),عمود(n;0.25),چماق زدن(v;0.25),تشكيل باشگاه يا انجمن دادن(v;0.25)
co|شركت(n;0.75)
coal|زغال سنگ(n;0.75),زغال(n;0.75),زغال كردن(v;0.25)
coalition|ائتلاف(n;0.75),پيوسته(n;0.25),اتحاد موقتي(n;0.25)
coat|كت(n;0.75),روكش(n;0.5),نيمتنه(n;0.25),ژاكت(n;0.25),قشر(n;0.25),غشا(n;0.25),پوشاندن(v;0.5),روكش كردن(v;0.25),اندودن(v;0.25)
coating|پوشش(n;0.75),روكش(n;0.5),اندود(n;0.5)
cocaine|كوكائين(n;0.75)
cocking|cocking با(n;0.75)
coconut|نارگيل(n;0.75)
cod|ماهي روغن(n;0.75),كيسه(n;0.75),چنته(n;0.5),ماهي كاد(n;0.5),نوعي ماهي(n;0.5),كيسه كوچك(n;0.5),غلاف سبوس(n;0.5),پوستن(n;0.25)
code|قانون(n;0.5),رمز(n;0.5),برنامه(n;0.5),نظام نامه(n;0.25),دستورالعمل(n;0.25),رمزي كردن(v;0.25),بصورت رمز دراوردن(v;0.25)
coffin|تابوت(n;0.75)
cohesion|پيوسته(n;0.5),چسبنده(n;0.5),هم بسته(n;0.25),جاذبه مولكولي(n;0.25)
coil|سيم پيچ(n;0.75),فنر(n;0.5),مارپيچ(n;0.5),چنبره(n;0.5),چنبره زدن(v;0.25),بدور چيزي بطور مارپيچ پيچيدن(v;0.25)
coin|سكه(n;0.75),مسكوك(n;0.5),سكه زدن(v;0.25),اختراع و ابداع كردن(v;0.25)
coincide|همزم بودن(v;0.5),منطبق شدن(v;0.25),مصادف شدن(v;0.5),باهم رويدادن(v;0.25),در يك زمان اتفاق افتادن(v;0.25)
cold|سرد(j;0.75),خنك(j;0.5),سرما(n;0.75),زكام(n;0.75),سرما خورده(n;0.5)
collaboration|همكاري(n;0.75),همدستن(n;0.5),تشريك مساعي(n;0.5),خيانت(n;0.25)
collapse|سقوط(n;0.75),فروكش(n;0.25),اوار(n;0.25),فروريخته(n;0.25),فرو ريختن(v;0.5),دچار سقوط و اضمحلال شدن(v;0.25),غش كردن(v;0.25),سقوط كردن(v;0.25)
colleague|همكار(n;0.75)
collect|جمع كردن(v;0.5),فراهم كردن(v;0.25),گرد اوردن(v;0.25),جمع اوري كردن(v;0.25),وصول كردن(v;0.25),مدون كردن(v;0.25),متراكم كردن(v;0.25),فراهم اوردن(v;0.25)
collection|مجموعه(n;0.75),كلكسيون(n;0.5),وصول(n;0.5),جمع اوري(n;0.25),گرداورد(n;0.25),اجتماع(n;0.25),گرد اوري(n;0.25)
collective|جمعي(j;0.75),اشتراكي(j;0.5),اجتماعي(j;0.5),بهم پيوستن(j;0.25),انبوه(j;0.25),مشاع(j;0.25)
collectively|مجتمعا(d;0.5)
college|كالج(n;0.75),دانشگاه(n;0.75),دانشكده(n;0.75)
cologne|كلن(n;0.75)
colonial|مستعمراتي(j;0.75)
colony|مستعمره(n;0.75),مستملكه(n;0.25),جرگه(n;0.25)
colour|رنگ(n;0.75),فام(n;0.25),بشره(n;0.25),تغيير رنگ دادن(v;0.25),رنگ كردن(v;0.25),ملون كردن(v;0.25)
colourful|رنگارنگ(j;0.75)
colouring|رنگ اميزي(n;0.5)
column|ستون(n;0.75),پايه(n;0.25),ركن(n;0.25),عمود(n;0.25)
combat|مبارزه(n;0.75),بردن(n;0.5),رزم(n;0.5),پيكار(n;0.25),زدن و خورد(n;0.25),حرب(n;0.25),محاربه(n;0.25),مصاف(n;0.25),سلحشور(j;0.25),مبارزه كردن(v;0.25),جنگيدن با(v;0.25)
combination|تركيب(n;0.75),اميزش(n;0.25)
combine|كمباين(n;0.5),ماشين درو وخرمنكوبي(n;0.25),تركيب كردن(v;0.5),باهم پيوستن(v;0.25),متحد شدن(v;0.25),اميختن تركيب شدن(v;0.25),مخلوط كردن(v;0.25)
come|رسيدن(v;0.5),امدن(v;0.25),رفتن(v;0.25)
comedy|كمدي(n;0.75),نمايش خنده دار(n;0.25),شاد نمايش(n;0.25),نمايش خنده اور(n;0.25)
comfort|راحت(n;0.75),مايه تسلي(n;0.5),اسوده(n;0.25),اسا(n;0.25),دلداري دادن(v;0.25),اسا دادن(v;0.25),تسهيل كردن(v;0.25)
comic|خندن دار(j;0.75),مضحك(j;0.5),وابستن به كمدي(j;0.25)
command|فرماندهي(n;0.75),فرمان(n;0.75),فرما(n;0.25),سركرده(n;0.25),فرمان دادن(v;0.5),حكم كردن(v;0.25),امر كردن(v;0.25),فرمودن(v;0.25)
